date,current_200_63,faster_100_63,faster_50_63,monthly_200_21,crossing_200_63,no_market_gate_63,core_plus_dip,core_plus_index,index_hold,index_dip
2022-10-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2022-10-04,100075.07386637223,100033.05359955711,100075.07386637223,100075.07386637223,100075.07386637223,100033.05359955711,100075.07386637223,100216.42228069942,100528.66399480433,100000.0
2022-10-06,100063.18597269547,100932.50796814842,100063.18597269547,100063.18597269547,100152.79960095069,100932.50796814842,100063.18597269547,100307.23583355587,100872.51883794398,100000.0
2022-10-07,100123.59575129044,101480.25791092796,100123.59575129044,100123.59575129044,100640.64384686133,101480.25791092796,100123.59575129044,100407.14561215084,101004.76883794398,100000.0
2022-10-10,99974.36546183121,100704.13710328026,99974.36546183121,99974.36546183121,99743.17154537818,100704.13710328026,99974.36546183121,100188.39493694942,100772.00754644007,100000.0
2022-10-11,99863.44776773942,99751.52385254783,99863.44776773942,99863.44776773942,98774.69460522315,99751.52385254783,99863.44776773942,99622.43647137325,99248.48496343226,100000.0
2022-10-12,99873.51834726823,99796.42329712791,99873.51834726823,99873.51834726823,98183.05989823073,99796.42329712791,99873.51834726823,99844.22888317745,99957.35109807581,100000.0
2022-10-13,99857.92944574845,99486.81369706077,99857.92944574845,99857.92944574845,97609.1007325055,99486.81369706077,99857.92944574845,99673.79824581783,99438.92528630822,100000.0
2022-10-14,99752.48818064225,99222.61520691795,99752.48818064225,99752.48818064225,97128.8793198468,99222.61520691795,99752.48818064225,99851.17833080929,100385.8398065719,100000.0
2022-10-17,99724.81312799943,99547.43776627464,99724.81312799943,99724.81312799943,97275.24409645813,99547.43776627464,99724.81312799943,99951.48289242428,100814.328515068,100000.0
2022-10-18,99781.95101786149,100717.87509461326,99781.95101786149,99781.95101786149,98259.1018387677,100717.87509461326,99781.95101786149,100294.60039654415,101771.8172235641,100000.0
2022-10-19,99749.96347666276,100906.98131104393,99749.96347666276,99749.96347666276,98741.08533638733,100906.98131104393,99749.96347666276,100292.6332410876,101872.328515068,100000.0
2022-10-20,99743.74465418351,101337.86031266136,99743.74465418351,99743.74465418351,98953.50840538758,101337.86031266136,99743.74465418351,100382.7945150439,102195.01883794398,100000.0
