i,side,s,qty,price,fee,reason,terminal
387,sell,SILVERBEES.NS,22,72.89242735290527,26.061726625376217,scheduled,False
387,sell,INDIGRID.NS,43,94.84739250200967,28.626183368139863,scheduled,False
387,sell,LIQUIDBEES.NS,1,888.3184097545898,25.32049863246636,scheduled,False
387,sell,BLS.NS,4,164.50201568296688,25.08184506281239,scheduled,False
387,sell,COALINDIA.NS,16,176.04780173664474,27.318804950437702,scheduled,False
387,sell,HAL.NS,1,1337.6552785677522,25.78611317868915,scheduled,False
387,sell,ITC.NS,12,324.78910429356006,28.438658972628385,scheduled,False
387,sell,KIRLOSENG.NS,4,374.8430573385958,25.953688487734976,scheduled,False
387,sell,NHPC.NS,60,37.29327559255679,26.718655707650367,scheduled,False
387,sell,NTPC.NS,23,160.23534611875888,28.218920730646914,scheduled,False
387,sell,VBL.NS,5,276.6789737754767,25.833509731397335,scheduled,False
450,buy,RVNL.NS,55,121.00831143697675,15.748315700604946,,
450,buy,KIRLOSENG.NS,12,379.41070603943547,11.300802130188025,,
450,buy,JSL.NS,12,349.77200456107477,10.878903750589586,,
450,buy,VEDL.NS,31,224.9533154166,16.501001895473753,,
450,buy,IRFC.NS,228,31.255416253381654,16.86228231614293,,
450,buy,IRCON.NS,64,78.84722867015597,11.940503200465184,,
450,buy,TITAGARH.NS,5,499.41385548732234,8.862088500696522,,
450,buy,CIEINDIA.NS,10,509.9040920301083,12.065483200680351,,
450,buy,ANANTRAJ.NS,18,177.44996378428556,9.688923693319603,,
450,buy,TRITURBINE.NS,9,394.99073125348116,10.116934476547028,,
450,buy,HSCL.NS,41,127.47929733220052,12.367437940176524,,
450,buy,SONATSOFTW.NS,11,466.02687949638437,12.129974108595327,,
450,buy,DATAPATTNS.NS,1,1898.2695695149014,8.151776718367383,,
450,buy,CEMPRO.NS,3,163.53644820614116,6.481973560429335,,
450,buy,RVNL.NS,28,121.00831143697675,9.919209746793896,,
450,buy,KIRLOSENG.NS,6,379.41070603943547,8.600401065094012,,
450,buy,JSL.NS,6,349.77200456107477,8.389451875294792,,
450,buy,VEDL.NS,16,224.9533154166,10.169527544533949,,
450,buy,IRFC.NS,115,31.255416253381654,10.163738551067151,,
450,buy,IRCON.NS,32,78.84722867015597,8.892980245647502,,
450,buy,TITAGARH.NS,2,499.41385548732234,7.084835400278609,,
450,buy,CIEINDIA.NS,5,509.9040920301083,8.924307457362536,,
450,buy,ANANTRAJ.NS,9,177.44996378428556,7.794461846659802,,
450,buy,TRITURBINE.NS,4,394.99073125348116,7.774193100687569,,
450,buy,HSCL.NS,20,127.47929733220052,8.924385139143737,,
450,buy,SONATSOFTW.NS,5,466.02687949638437,8.66406600578739,,
450,buy,CEMPRO.NS,4,163.53644820614116,6.675964747239112,,
450,buy,UCOBANK.NS,5,27.748479752881476,6.064579840716707,,
463,sell,CIEINDIA.NS,10,447.7903965454317,29.040120514506867,stop,False
463,sell,CIEINDIA.NS,5,447.7903965454317,26.720060257253433,stop,False
467,sell,VEDL.NS,31,211.98271234177437,33.0638495579132,stop,False
467,sell,VEDL.NS,16,211.98271234177437,27.91459196926508,stop,False
513,sell,ANANTRAJ.NS,18,233.11552342984683,28.748086594869093,scheduled,False
513,sell,CEMPRO.NS,3,215.36363857603678,25.069496205241276,scheduled,False
513,sell,DATAPATTNS.NS,1,2067.4848435671465,26.54238154951021,scheduled,False
513,sell,HSCL.NS,41,245.29558162277016,40.78884827277772,scheduled,False
513,sell,IRCON.NS,64,133.2535237834506,37.4004751360321,scheduled,False
513,sell,KIRLOSENG.NS,12,522.6262782929426,32.39909535483266,scheduled,False
513,sell,RVNL.NS,55,163.66945632276844,38.450067747961114,scheduled,False
513,sell,SONATSOFTW.NS,11,509.7723245989448,30.927477478422833,scheduled,False
513,sell,TRITURBINE.NS,9,380.0721525549731,27.944565817180866,scheduled,False
513,buy,JBMA.NS,10,620.9697289581784,14.693547178737946,,
513,buy,JWL.NS,8,298.94446194231654,8.736925546495891,,
513,buy,FACT.NS,1,535.248352737703,6.534925512474635,,
513,buy,J&KBANK.NS,1,109.7206181908015,6.030153450034002,,
513,sell,GOLDBEES.NS,77,49.120984304809575,28.31933396333214,scheduled,False
513,sell,SILVERBEES.NS,37,70.01587847595215,27.084434126516015,scheduled,False
513,sell,ANANTRAJ.NS,9,233.11552342984683,26.57404329743455,scheduled,False
513,sell,CEMPRO.NS,4,215.36363857603678,25.292661606988368,scheduled,False
513,sell,HSCL.NS,20,245.29558162277016,29.48363318725273,scheduled,False
513,sell,IRCON.NS,32,133.2535237834506,28.818584509952956,scheduled,False
513,sell,KIRLOSENG.NS,6,522.6262782929426,27.649353627102297,scheduled,False
513,sell,RVNL.NS,28,163.66945632276844,29.148759289330478,scheduled,False
513,sell,SONATSOFTW.NS,5,509.7723245989448,27.04119668414933,scheduled,False
513,sell,TRITURBINE.NS,4,380.0721525549731,25.975362585413716,scheduled,False
513,sell,UCOBANK.NS,5,40.799552079872775,24.611387783267592,scheduled,False
513,buy,JBMA.NS,5,620.9697289581784,9.583052188515719,,
513,buy,JWL.NS,4,298.94446194231654,7.318462773247946,,
513,buy,J&KBANK.NS,1,109.7206181908015,6.030153450034002,,
576,sell,FACT.NS,1,814.5876086999208,25.244096859412686,scheduled,False
576,sell,IRFC.NS,228,105.17058589012798,66.94755298188511,scheduled,False
576,sell,J&KBANK.NS,1,123.57186381233872,24.528048378150807,scheduled,False
576,sell,JBMA.NS,10,959.4046731037851,39.762575810541094,scheduled,False
576,sell,JSL.NS,12,605.7160554996609,34.6088440497895,scheduled,False
576,sell,JWL.NS,8,354.47753302372325,27.33855068908033,scheduled,False
576,buy,BSE.NS,10,747.7593395179061,17.69367590910097,,
576,buy,ANANDRATHI.NS,9,697.4011238295135,14.85187804471153,,
576,buy,NEWGEN.NS,7,799.8502377993194,13.248385001508527,,
576,buy,ZENTEC.NS,7,766.929050888892,12.703092222580334,,
576,buy,RECLTD.NS,13,375.5850097915932,11.691873149725554,,
576,buy,JINDALSAW.NS,20,240.3595551985783,11.602415074499774,,
576,buy,ITI.NS,18,308.8702,13.1554205615736,,
576,buy,TRENT.NS,3,3198.801487207279,22.707261743605592,,
576,buy,HBLENGINE.NS,4,457.8152966584544,8.072289632375886,,
576,buy,GOLDBEES.NS,1,52.903408152771,5.962755398239429,,
576,sell,IRFC.NS,115,105.17058589012798,45.3044054917675,scheduled,False
576,sell,J&KBANK.NS,1,123.57186381233872,24.528048378150807,scheduled,False
576,sell,JBMA.NS,5,959.4046731037851,29.370800333958215,scheduled,False
576,sell,JSL.NS,6,605.7160554996609,28.16595235195715,scheduled,False
576,sell,JWL.NS,4,354.47753302372325,25.869275344540164,scheduled,False
576,buy,BSE.NS,5,747.7593395179061,10.33505785139484,,
576,buy,ANANDRATHI.NS,5,697.4011238295135,10.036376727578942,,
576,buy,NEWGEN.NS,4,799.8502377993194,9.695212592734942,,
576,buy,ZENTEC.NS,4,766.929050888892,9.539004721278907,,
576,buy,RECLTD.NS,7,375.5850097915932,9.018700926775296,,
576,buy,JINDALSAW.NS,10,240.3595551985783,8.751207537249888,,
576,buy,ITI.NS,10,308.8702,9.563898618652,,
616,sell,JINDALSAW.NS,20,203.66468818350882,28.62085290355289,stop,False
616,sell,ITI.NS,18,253.8331021200961,29.134512281394976,stop,False
616,sell,JINDALSAW.NS,10,203.66468818350882,26.510426451776446,stop,False
616,sell,ITI.NS,10,253.8331021200961,27.030284600774987,stop,False
617,sell,HBLENGINE.NS,4,377.4632537316662,25.964548950245398,stop,False
620,sell,BSE.NS,10,640.585209987659,32.696815975901096,stop,False
620,sell,BSE.NS,5,640.585209987659,27.71895524902336,stop,False
639,sell,NEWGEN.NS,7,722.3891817908648,29.70684380762549,scheduled,False
639,sell,TITAGARH.NS,5,957.1870622493954,29.35931060383221,scheduled,False
639,sell,ZENTEC.NS,7,969.4269026714863,33.53928374760012,scheduled,False
639,buy,IRFC.NS,40,135.4060890463971,12.816056338396004,,
639,buy,GVT&D.NS,4,908.4900201131593,10.21069793039501,,
639,buy,TARIL.NS,12,327.6429466822164,10.563902984852707,,
639,buy,MRPL.NS,22,215.42290018243492,11.5218853942198,,
639,buy,SUZLON.NS,99,40.49854076385498,10.65600177959832,,
639,buy,IRCON.NS,26,210.99487950524173,12.980800813556423,,
639,buy,KALYANKJIL.NS,12,399.0809906025135,11.580802965901485,,
639,buy,HBLENGINE.NS,8,442.8865199104186,10.10290803973805,,
639,buy,HUDCO.NS,21,179.65704155604894,10.37539092931418,,
639,buy,LUPIN.NS,5,1549.0705046621858,18.327254519823928,,
639,buy,CHENNPETRO.NS,5,830.0757678680772,10.823287289075386,,
639,buy,GOLDBEES.NS,128,62.424818472290035,18.907037249844855,,
639,buy,SILVERBEES.NS,1,82.06836522216797,5.99735162860403,,
639,sell,NEWGEN.NS,4,722.3891817908648,27.394233809161683,scheduled,False
639,sell,TITAGARH.NS,2,957.1870622493954,26.38372424153288,scheduled,False
639,sell,ZENTEC.NS,4,969.4269026714863,28.41818144659065,scheduled,False
639,buy,IRFC.NS,23,135.4060890463971,9.594311137858485,,
639,buy,GVT&D.NS,2,908.4900201131593,8.055348965197505,,
639,buy,TARIL.NS,6,327.6429466822164,8.231951492426353,,
639,buy,MRPL.NS,13,215.42290018243492,9.222023187493518,,
639,buy,SUZLON.NS,57,40.49854076385498,8.638304054920244,,
639,buy,IRCON.NS,15,210.99487950524173,9.654314179039774,,
639,buy,KALYANKJIL.NS,7,399.0809906025135,9.2138017301092,,
639,buy,HBLENGINE.NS,5,442.8865199104186,8.526817524836282,,
639,buy,HUDCO.NS,12,179.65704155604894,8.457366245322389,,
639,buy,LUPIN.NS,3,1549.0705046621858,11.41264312539022,,
639,buy,CHENNPETRO.NS,3,830.0757678680772,8.853972373445233,,
669,sell,MRPL.NS,22,167.97023561490758,28.22921275814645,stop,False
669,sell,MRPL.NS,13,167.97023561490758,26.66271662981381,stop,False
702,sell,CHENNPETRO.NS,5,972.7027066594343,29.439699174554395,scheduled,False
702,sell,HBLENGINE.NS,8,621.5333815430682,29.55239239858278,scheduled,False
702,sell,IRCON.NS,26,312.1931983592087,36.48915776389773,scheduled,False
702,sell,KALYANKJIL.NS,12,523.5092316697762,32.42257724559898,scheduled,False
702,sell,LUPIN.NS,5,1790.6186822993977,38.34207839898832,scheduled,False
702,sell,RECLTD.NS,13,562.0243079920122,34.69244749205077,scheduled,False
702,sell,SUZLON.NS,99,57.131360762023924,31.034984706481545,scheduled,False
702,buy,COCHINSHIP.NS,1,2667.478716244451,9.06423260765579,,
702,buy,TATAINVEST.NS,18,622.6852212452586,26.521451285873102,,
702,buy,ADANIPOWER.NS,33,141.16920000000002,11.426132989493599,,
702,sell,GOLDBEES.NS,16,62.10538430480957,25.42968342330617,scheduled,False
702,buy,SILVERBEES.NS,1,87.00428152770996,6.00320674085949,,
702,sell,CHENNPETRO.NS,3,972.7027066594343,27.423819504732634,scheduled,False
702,sell,HBLENGINE.NS,5,621.5333815430682,27.620245249114237,scheduled,False
702,sell,IRCON.NS,15,312.1931983592087,29.25254063744454,scheduled,False
702,sell,KALYANKJIL.NS,7,523.5092316697762,28.19731713967372,scheduled,False
702,sell,LUPIN.NS,3,1790.6186822993977,30.405247039392997,scheduled,False
702,sell,RECLTD.NS,7,562.0243079920122,28.476689404013314,scheduled,False
702,sell,SUZLON.NS,57,57.131360762023924,27.774457081908373,scheduled,False
702,buy,TATAINVEST.NS,9,622.6852212452586,13.260725642936551,,
702,buy,ADANIPOWER.NS,30,141.16920000000002,10.923757263176004,,
721,sell,COCHINSHIP.NS,1,2033.056986113407,26.50670650849235,stop,False
763,sell,ADANIPOWER.NS,33,120.73412542536599,28.528558715149835,stop,False
763,sell,ADANIPOWER.NS,30,120.73412542536599,28.15323519559076,stop,False
765,sell,ANANDRATHI.NS,9,1036.0314506582356,39.16471853989849,scheduled,False
765,sell,HUDCO.NS,21,196.3024868263134,28.671688554995754,scheduled,False
765,sell,IRFC.NS,40,139.67553080910818,30.882101717717862,scheduled,False
765,sell,TARIL.NS,12,403.8471020390834,29.421722405890613,scheduled,False
765,sell,TATAINVEST.NS,18,704.3350220520449,46.59738059448168,scheduled,False
765,buy,WOCKPHARMA.NS,4,1071.284,10.983139736736,,
765,buy,INOXWIND.NS,20,216.7598,11.042522210296,,
765,buy,SIGNATURE.NS,5,1481.776,17.531084486879998,,
765,buy,INDIACEM.NS,32,361.68350000000004,27.386396847072003,,
765,buy,GODFRYPHLP.NS,2,2146.238456129059,10.991847717720301,,
765,buy,MCX.NS,5,1321.2973881524194,15.632441167891734,,
765,buy,SUZLON.NS,76,70.6747043334961,12.709656543153566,,
