date,open,high,low,close,adjclose,volume
2021-09-15,162.0,163.39999389648438,159.5,161.25,157.60861206054688,47000.0
2021-09-16,162.75,163.4499969482422,159.10000610351562,160.39999389648438,156.77777099609375,44312.0
2021-09-17,160.3000030517578,162.5,156.60000610351562,158.14999389648438,154.57859802246094,48786.0
2021-09-20,157.0,159.8000030517578,152.10000610351562,153.8000030517578,150.32684326171875,35555.0
2021-09-21,155.0,156.25,150.0,153.60000610351562,150.13136291503906,36437.0
2021-09-22,155.5,168.39999389648438,150.3000030517578,164.85000610351562,161.12730407714844,224850.0
2021-09-23,165.9499969482422,167.0,162.0,162.39999389648438,158.73260498046875,84562.0
2021-09-24,163.64999389648438,163.64999389648438,158.0,159.3000030517578,155.70263671875,35093.0
2021-09-27,158.5,165.0,156.5,159.39999389648438,155.8003692626953,54939.0
2021-09-28,160.4499969482422,163.89999389648438,155.85000610351562,157.0500030517578,153.50344848632812,33672.0
2021-09-29,156.0,159.0,154.3000030517578,158.0,154.43199157714844,15414.0
2021-09-30,157.0,163.25,156.6999969482422,161.1999969482422,157.55972290039062,52475.0
2021-10-01,163.9499969482422,168.64999389648438,161.25,165.10000610351562,161.37167358398438,126206.0
2021-10-04,168.89999389648438,173.75,163.4499969482422,171.0,167.13841247558594,136796.0
2021-10-05,170.64999389648438,176.0,169.1999969482422,172.0,168.11582946777344,96109.0
2021-10-06,173.14999389648438,173.25,166.60000610351562,168.0,164.20616149902344,48049.0
2021-10-07,169.6999969482422,173.89999389648438,168.0,170.1999969482422,166.35647583007812,90499.0
2021-10-08,172.3000030517578,172.3000030517578,168.10000610351562,169.10000610351562,165.2813262939453,39639.0
2021-10-11,168.8000030517578,172.0,159.1999969482422,164.8000030517578,161.07843017578125,56920.0
2021-10-12,164.8000030517578,169.0,164.14999389648438,167.3000030517578,163.52197265625,31712.0
2021-10-13,168.0,170.0,164.0,164.6999969482422,160.98068237304688,52503.0
2021-10-14,167.5500030517578,170.5500030517578,164.6999969482422,165.5500030517578,161.81149291992188,56240.0
2021-10-18,165.5500030517578,168.39999389648438,162.39999389648438,163.1999969482422,159.51454162597656,41697.0
2021-10-19,162.1999969482422,169.0,161.0,161.6999969482422,158.04844665527344,62222.0
2021-10-20,162.6999969482422,163.75,156.14999389648438,158.39999389648438,154.82293701171875,26882.0
2021-10-21,158.60000610351562,160.9499969482422,156.0,157.60000610351562,154.04103088378906,22772.0
2021-10-22,158.6999969482422,162.39999389648438,155.5,156.8000030517578,153.25909423828125,36529.0
2021-10-25,157.6999969482422,158.8000030517578,152.0500030517578,152.85000610351562,149.39830017089844,35756.0
2021-10-26,153.89999389648438,156.75,153.10000610351562,155.4499969482422,151.93959045410156,31095.0
2021-10-27,155.1999969482422,159.4499969482422,155.1999969482422,156.85000610351562,153.30796813964844,25372.0
2021-10-28,157.8000030517578,158.3000030517578,155.0,157.5500030517578,153.99215698242188,23788.0
2021-10-29,155.1999969482422,158.0,154.0,155.64999389648438,152.13507080078125,26755.0
2021-11-01,157.25,159.9499969482422,156.0,156.8000030517578,153.25909423828125,37578.0
2021-11-02,162.0500030517578,169.75,157.9499969482422,161.0500030517578,157.4131317138672,226295.0
2021-11-03,161.9499969482422,188.64999389648438,159.89999389648438,180.5500030517578,176.47276306152344,1258436.0
2021-11-04,181.5,184.0,179.0,180.60000610351562,176.52163696289062,86646.0
2021-11-08,180.60000610351562,207.0,177.0500030517578,202.89999389648438,198.3180389404297,1128949.0
2021-11-09,200.0,207.75,195.8000030517578,197.64999389648438,193.1865997314453,556934.0
2021-11-10,195.14999389648438,208.0,193.0,200.64999389648438,196.1188507080078,294143.0
2021-11-11,204.0,219.39999389648438,204.0,216.4499969482422,211.56204223632812,729002.0
2021-11-12,218.1999969482422,220.0,205.5500030517578,208.14999389648438,203.449462890625,219058.0
2021-11-15,204.0,209.6999969482422,197.1999969482422,200.4499969482422,195.92337036132812,135807.0
2021-11-16,197.0,207.0,197.0,200.85000610351562,196.31434631347656,100143.0
2021-11-17,201.10000610351562,225.9499969482422,200.5,215.64999389648438,210.78012084960938,684735.0
2021-11-18,215.3000030517578,223.5500030517578,209.60000610351562,213.64999389648438,208.8252716064453,231851.0
2021-11-22,219.0,219.0500030517578,201.0,204.35000610351562,199.73529052734375,175179.0
2021-11-23,204.8000030517578,215.35000610351562,202.25,214.14999389648438,209.31399536132812,151205.0
2021-11-24,215.0,232.0,211.14999389648438,221.0,216.00930786132812,656650.0
2021-11-25,224.0,234.39999389648438,220.39999389648438,221.5500030517578,216.54689025878906,304186.0
2021-11-26,220.0,223.6999969482422,209.5,210.85000610351562,206.08853149414062,175489.0
2021-11-29,212.0,214.0,201.14999389648438,203.75,199.14883422851562,148196.0
2021-11-30,205.3000030517578,211.6999969482422,195.5,198.6999969482422,194.21287536621094,120372.0
2021-12-01,196.35000610351562,202.6999969482422,195.64999389648438,197.0,192.55126953125,83271.0
2021-12-02,196.10000610351562,208.10000610351562,196.10000610351562,204.25,199.63755798339844,123354.0
2021-12-03,205.3000030517578,211.1999969482422,205.3000030517578,207.60000610351562,202.91192626953125,125934.0
2021-12-06,204.1999969482422,210.0500030517578,193.5500030517578,198.14999389648438,193.67529296875,96567.0
2021-12-07,200.6999969482422,205.0,199.35000610351562,203.9499969482422,199.34432983398438,50607.0
2021-12-08,202.0500030517578,207.8000030517578,198.0500030517578,204.89999389648438,200.2728729248047,63674.0
2021-12-09,205.0,214.0500030517578,203.1999969482422,208.3000030517578,203.59608459472656,101019.0
2021-12-10,205.60000610351562,211.0500030517578,203.0,204.89999389648438,200.2728729248047,45592.0
2021-12-13,206.5,211.0,204.0,207.25,202.56982421875,88804.0
2021-12-14,206.0,209.35000610351562,201.35000610351562,203.0500030517578,198.46466064453125,44011.0
2021-12-15,204.0,204.0500030517578,199.5,200.64999389648438,196.1188507080078,45197.0
2021-12-16,202.25,208.4499969482422,200.9499969482422,201.75,197.19400024414062,66772.0
2021-12-17,202.89999389648438,202.89999389648438,193.4499969482422,194.5,190.1077117919922,76536.0
2021-12-20,191.60000610351562,191.60000610351562,172.5,173.85000610351562,169.92408752441406,216362.0
2021-12-21,178.89999389648438,183.0500030517578,175.0500030517578,179.6999969482422,175.64195251464844,111571.0
2021-12-22,182.0,187.9499969482422,180.89999389648438,185.5,181.31097412109375,55604.0
2021-12-23,187.0,188.5,185.1999969482422,185.64999389648438,181.45758056640625,21971.0
2021-12-24,186.89999389648438,188.0500030517578,183.5,184.3000030517578,180.13809204101562,38752.0
2021-12-27,186.5,187.4499969482422,182.25,184.4499969482422,180.28466796875,55509.0
2021-12-28,187.5,194.0,186.4499969482422,190.75,186.44241333007812,75916.0
2021-12-29,191.60000610351562,192.60000610351562,184.60000610351562,187.9499969482422,183.7056427001953,38508.0
2021-12-30,186.0,189.9499969482422,183.10000610351562,185.5500030517578,181.35984802246094,38659.0
2021-12-31,182.85000610351562,191.25,182.85000610351562,189.0,184.73194885253906,34588.0
