date,open,high,low,close,adjclose,volume
2025-09-08,272.45001220703125,272.45001220703125,272.45001220703125,272.45001220703125,272.45001220703125,158.0
2025-09-09,258.8500061035156,258.8500061035156,258.8500061035156,258.8500061035156,258.8500061035156,374.0
2025-09-10,245.89999389648438,245.89999389648438,245.89999389648438,245.89999389648438,245.89999389648438,114.0
2025-09-11,233.60000610351562,233.60000610351562,233.60000610351562,233.60000610351562,233.60000610351562,361.0
2025-09-12,221.9499969482422,221.9499969482422,221.9499969482422,221.9499969482422,221.9499969482422,317.0
2025-09-15,210.85000610351562,210.85000610351562,210.85000610351562,210.85000610351562,210.85000610351562,1283.0
2025-09-16,200.3000030517578,200.3000030517578,200.3000030517578,200.3000030517578,200.3000030517578,408.0
2025-09-17,190.3000030517578,190.3000030517578,190.3000030517578,190.3000030517578,190.3000030517578,239.0
2025-09-18,180.8000030517578,180.8000030517578,180.8000030517578,180.8000030517578,180.8000030517578,393.0
2025-09-19,171.8000030517578,189.8000030517578,171.8000030517578,189.8000030517578,189.8000030517578,5496.0
2025-09-22,199.25,199.25,199.25,199.25,199.25,95.0
2025-09-23,209.1999969482422,209.1999969482422,209.1999969482422,209.1999969482422,209.1999969482422,36.0
2025-09-24,219.64999389648438,219.64999389648438,219.64999389648438,219.64999389648438,219.64999389648438,123.0
2025-09-25,230.60000610351562,230.60000610351562,230.60000610351562,230.60000610351562,230.60000610351562,561.0
2025-09-26,226.0,235.1999969482422,226.0,226.0,226.0,1958.0
2025-09-29,221.5,221.5,221.5,221.5,221.5,258.0
2025-09-30,217.10000610351562,217.10000610351562,217.10000610351562,217.10000610351562,217.10000610351562,156.0
2025-10-01,212.75,212.8000030517578,212.75,212.75,212.75,1074.0
2025-10-03,208.49000549316406,208.49000549316406,208.49000549316406,208.49000549316406,208.49000549316406,870.0
2025-10-06,204.32000732421875,204.32000732421875,204.32000732421875,204.32000732421875,204.32000732421875,6.0
2025-10-07,200.22999572753906,200.22999572753906,200.22999572753906,200.22999572753906,200.22999572753906,36.0
