date,open,high,low,close,adjclose,volume
2021-09-15,21455.0,21465.94921875,21050.5,21124.30078125,19527.35546875,13548.0
2021-09-16,21264.0,21420.69921875,20900.0,21004.099609375,19416.240234375,10406.0
2021-09-17,20901.0,21083.0,20250.0,20480.599609375,18932.314453125,15232.0
2021-09-20,20480.5,20887.94921875,20161.400390625,20559.30078125,19005.06640625,12344.0
2021-09-21,20486.5,20850.0,20300.0,20786.44921875,19215.041015625,6756.0
2021-09-22,20800.0,21500.05078125,20800.0,21464.94921875,19842.25,17468.0
2021-09-23,21474.0,21698.0,21474.0,21604.400390625,19971.16015625,8679.0
2021-09-24,21699.0,21728.0,21075.0,21204.94921875,19601.90625,10727.0
2021-09-27,21394.0,21394.0,21137.80078125,21183.400390625,19581.986328125,6091.0
2021-09-28,21237.0,21378.349609375,20821.099609375,21010.80078125,19422.435546875,21415.0
2021-09-29,21010.80078125,21010.80078125,19201.0,19555.80078125,18077.4296875,65120.0
2021-09-30,19800.0,20642.0,19703.19921875,20517.80078125,18966.703125,50607.0
2021-10-01,20499.5,22569.55078125,20462.0,22031.25,20365.73828125,93068.0
2021-10-04,22810.0,23371.94921875,22300.0,23108.849609375,21361.876953125,112685.0
2021-10-05,23200.0,23934.44921875,23100.0,23184.5,21431.806640625,82214.0
2021-10-06,23200.0,23720.849609375,21854.80078125,22100.099609375,20429.384765625,56156.0
2021-10-07,22475.849609375,22868.80078125,21610.0,21741.19921875,20097.615234375,45763.0
2021-10-08,22100.0,22250.0,21555.0,21796.900390625,20149.10546875,26368.0
2021-10-11,21969.5,22171.30078125,21700.0,22024.599609375,20359.58984375,17443.0
2021-10-12,22150.0,22279.94921875,21617.150390625,21705.849609375,20064.9375,18841.0
2021-10-13,21902.0,21902.0,21500.0,21589.05078125,19956.96875,13179.0
2021-10-14,21699.900390625,21850.0,21446.849609375,21551.55078125,19922.3046875,11247.0
2021-10-18,21700.0,22036.94921875,21363.69921875,21432.19921875,19811.978515625,15207.0
2021-10-19,21451.0,21574.900390625,20454.599609375,20573.75,19018.421875,19251.0
2021-10-20,20639.0,21366.0,20328.900390625,20686.099609375,19122.28125,43185.0
2021-10-21,20866.0,21096.69921875,20553.80078125,20992.0,19405.0546875,11775.0
2021-10-22,20992.0,21199.94921875,20125.0,20239.55078125,18709.490234375,16585.0
2021-10-25,20280.0,20444.80078125,19700.0,20049.80078125,18534.083984375,15978.0
2021-10-26,20100.0,20286.150390625,20000.0,20205.19921875,18677.734375,29284.0
2021-10-27,20205.19921875,20699.94921875,20010.099609375,20607.69921875,19049.806640625,15321.0
2021-10-28,20688.0,20688.0,20000.0,20017.150390625,18503.900390625,9606.0
2021-10-29,20084.94921875,20271.25,19725.099609375,20049.400390625,18533.712890625,11312.0
2021-11-01,20025.0,20244.80078125,19866.599609375,19956.94921875,18448.251953125,14285.0
2021-11-02,20100.0,20400.0,20075.0,20308.349609375,18773.083984375,9394.0
2021-11-03,20200.0,20483.599609375,20111.05078125,20296.0,18761.671875,8666.0
2021-11-04,20390.0,20469.44921875,20207.349609375,20295.05078125,18760.791015625,1687.0
2021-11-08,20210.099609375,20384.19921875,19995.05078125,20025.650390625,18511.759765625,7471.0
2021-11-09,19994.0,20250.0,19960.05078125,20071.69921875,18554.326171875,7363.0
2021-11-10,20046.0,20150.0,19960.0,20057.650390625,18541.337890625,5187.0
2021-11-11,20059.0,20100.0,19905.05078125,19990.44921875,18479.21875,18105.0
2021-11-12,20001.0,20056.5,19705.55078125,19754.650390625,18261.244140625,11666.0
2021-11-15,19788.0,20076.80078125,19701.05078125,19950.5,18442.2890625,16684.0
2021-11-16,19951.150390625,20100.19921875,19725.0,19784.94921875,18289.255859375,12440.0
2021-11-17,19769.900390625,19830.0,19575.0,19664.900390625,18178.28125,5484.0
2021-11-18,19775.0,19775.0,19251.25,19602.5,18120.59765625,11976.0
2021-11-22,19739.900390625,19739.900390625,19450.150390625,19512.099609375,18037.03125,10912.0
2021-11-23,19500.0,19847.5,19251.44921875,19736.849609375,18244.7890625,7955.0
2021-11-24,19879.849609375,19879.849609375,19000.0,19167.400390625,17718.390625,12697.0
2021-11-25,19237.0,19404.0,19120.25,19317.94921875,17857.55859375,11434.0
2021-11-26,19200.0,20196.69921875,19100.0,19581.19921875,18100.908203125,31782.0
