date,open,high,low,close,adjclose,volume
2026-08-18,146.0,146.0,140.0,142.1699981689453,142.1699981689453,241.0
2026-08-19,146.0,146.0,133.57000732421875,140.11000061035156,140.11000061035156,444.0
2026-08-20,140.0,145.0,136.02000427246094,139.66000366210938,139.66000366210938,2443.0
2026-08-21,145.0,145.0,136.0,140.0,140.0,665.0
2026-08-24,147.0,147.0,137.0,139.85000610351562,139.85000610351562,3149.0
2026-08-25,144.8000030517578,145.0,132.64999389648438,136.88999938964844,136.88999938964844,2502.0
2026-08-26,142.75,142.75,133.0,135.91000366210938,135.91000366210938,3060.0
2026-08-27,134.89999389648438,139.69000244140625,133.0,136.4199981689453,136.4199981689453,541.0
2026-08-28,136.4199981689453,138.89999389648438,132.5,133.47000122070312,133.47000122070312,1527.0
2026-08-31,133.47000122070312,138.49000549316406,130.0,134.8000030517578,134.8000030517578,1684.0
2026-09-01,139.89999389648438,142.0,126.30000305175781,133.2100067138672,133.2100067138672,9091.0
2026-09-02,131.0,137.0,130.0,134.9499969482422,134.9499969482422,2148.0
2026-09-03,134.6999969482422,134.6999969482422,131.8800048828125,132.9499969482422,132.9499969482422,907.0
2026-09-04,139.0,139.0,130.25999450683594,133.16000366210938,133.16000366210938,7739.0
2026-09-07,133.82000732421875,137.7899932861328,131.14999389648438,134.57000732421875,134.57000732421875,3390.0
2026-09-08,139.0,139.0,133.32000732421875,136.8000030517578,136.8000030517578,3656.0
2026-09-09,139.0,139.0,130.60000610351562,132.41000366210938,132.41000366210938,3559.0
2026-09-10,137.0,137.0,131.0,131.6999969482422,131.6999969482422,559.0
2026-09-11,136.6999969482422,136.6999969482422,130.00999450683594,134.91000366210938,134.91000366210938,596.0
2026-09-15,139.4499969482422,139.4499969482422,130.14999389648438,134.11000061035156,134.11000061035156,2427.0
