date,open,high,low,close,adjclose,volume
2021-09-15,268.0,274.70001220703125,263.29998779296875,269.8500061035156,257.14300537109375,1651257.0
2021-09-16,269.75,275.5,268.70001220703125,271.3500061035156,261.9701843261719,561395.0
2021-09-17,272.6499938964844,273.3999938964844,260.5,265.6000061035156,256.4189758300781,522234.0
2021-09-20,265.5,271.75,260.8999938964844,266.6499938964844,257.4326171875,789766.0
2021-09-21,266.0,269.70001220703125,258.79998779296875,262.79998779296875,253.71571350097656,306767.0
2021-09-22,264.0,275.0,261.25,272.75,263.32177734375,1006977.0
2021-09-23,275.0,303.5,273.5,290.1000061035156,280.072021484375,5551409.0
2021-09-24,288.8999938964844,293.29998779296875,283.1000061035156,285.54998779296875,275.6793212890625,1194351.0
2021-09-27,288.0,297.0,285.70001220703125,293.6000061035156,283.4510498046875,1325934.0
2021-09-28,292.04998779296875,307.8999938964844,292.04998779296875,296.1499938964844,285.91290283203125,1950724.0
2021-09-29,295.0,308.0,292.20001220703125,306.0,295.42242431640625,1529776.0
2021-09-30,311.0,331.3500061035156,306.25,316.1499938964844,305.2215576171875,4103109.0
2021-10-01,314.5,326.0,307.45001220703125,321.54998779296875,310.43487548828125,1482297.0
2021-10-04,325.0,328.3999938964844,318.0,321.25,310.145263671875,1314376.0
2021-10-05,320.0,329.95001220703125,316.8999938964844,325.8500061035156,314.58624267578125,1063933.0
2021-10-06,329.0,329.0,314.5,316.95001220703125,305.9939270019531,873863.0
2021-10-07,319.0,324.8999938964844,304.3999938964844,311.54998779296875,300.78057861328125,914999.0
2021-10-08,313.79998779296875,322.0,309.25,312.95001220703125,302.1321716308594,854793.0
2021-10-11,315.0,321.95001220703125,311.6499938964844,315.95001220703125,305.0284729003906,647338.0
2021-10-12,315.95001220703125,318.8999938964844,295.20001220703125,307.45001220703125,296.8222961425781,508238.0
2021-10-13,309.8999938964844,332.45001220703125,308.54998779296875,324.45001220703125,313.2346496582031,1748360.0
2021-10-14,325.70001220703125,337.95001220703125,316.0,320.8500061035156,309.75909423828125,1358416.0
2021-10-18,322.0,323.8999938964844,316.0,317.8999938964844,306.9110412597656,583840.0
2021-10-19,319.8500061035156,323.0,300.29998779296875,303.6499938964844,293.1536560058594,588670.0
2021-10-20,305.8500061035156,306.79998779296875,285.29998779296875,290.54998779296875,280.5064392089844,606315.0
2021-10-21,291.8999938964844,297.8999938964844,288.70001220703125,291.8500061035156,281.76153564453125,278393.0
2021-10-22,292.5,303.3999938964844,281.20001220703125,286.6499938964844,276.74127197265625,535577.0
2021-10-25,289.1000061035156,289.3500061035156,274.79998779296875,277.8999938964844,268.29376220703125,372012.0
2021-10-26,279.6499938964844,294.25,278.0,291.5,281.42364501953125,379169.0
2021-10-27,293.95001220703125,296.8500061035156,279.0,280.8999938964844,271.1900634765625,596437.0
2021-10-28,283.3999938964844,286.0,276.5,278.8500061035156,269.2109069824219,497153.0
2021-10-29,278.8999938964844,285.8999938964844,268.25,282.8999938964844,273.1208801269531,670854.0
2021-11-01,290.0,290.0,282.25,284.5,274.6656188964844,273450.0
2021-11-02,286.0,294.95001220703125,283.20001220703125,284.5,274.6656188964844,415364.0
2021-11-03,286.45001220703125,288.0,279.0,281.3500061035156,271.62451171875,217230.0
2021-11-04,284.79998779296875,287.6499938964844,282.0,285.5,275.63104248046875,76096.0
2021-11-08,287.20001220703125,297.0,285.04998779296875,295.1499938964844,284.9474792480469,572333.0
2021-11-09,284.0,307.0,276.54998779296875,281.6000061035156,271.8658447265625,3720116.0
2021-11-10,281.8500061035156,282.0,265.0,268.54998779296875,259.2669677734375,1364478.0
2021-11-11,265.0,270.54998779296875,261.8500061035156,262.6499938964844,253.5708770751953,659074.0
2021-11-12,264.0,265.8500061035156,252.0,253.5500030517578,244.7854766845703,688136.0
2021-11-15,255.5500030517578,262.79998779296875,254.0,259.8500061035156,250.8677215576172,566378.0
2021-11-16,262.0,262.6499938964844,247.0,256.5,247.6334991455078,506212.0
2021-11-17,255.8000030517578,259.5,246.0,249.8000030517578,241.16510009765625,436383.0
2021-11-18,251.35000610351562,254.5,241.75,242.85000610351562,234.45533752441406,522757.0
2021-11-22,243.8000030517578,249.85000610351562,234.25,241.85000610351562,233.48992919921875,539292.0
2021-11-23,241.0,252.89999389648438,240.0,251.5500030517578,242.8546142578125,480797.0
2021-11-24,253.0,259.70001220703125,250.10000610351562,252.1999969482422,243.48214721679688,342131.0
2021-11-25,253.0,254.39999389648438,248.25,250.64999389648438,241.98573303222656,265132.0
2021-11-26,250.64999389648438,257.95001220703125,239.0,243.5500030517578,235.1311492919922,564241.0
2021-11-29,244.4499969482422,245.0,233.0,235.4499969482422,227.31112670898438,358572.0
2021-11-30,236.0,246.89999389648438,235.89999389648438,241.35000610351562,233.00718688964844,307050.0
2021-12-01,243.1999969482422,244.9499969482422,237.5500030517578,239.25,230.97976684570312,167371.0
2021-12-02,241.89999389648438,244.0,238.89999389648438,242.25,233.87606811523438,172171.0
2021-12-03,243.3000030517578,246.89999389648438,230.64999389648438,236.39999389648438,228.22828674316406,428463.0
2021-12-06,234.0,239.9499969482422,232.0,233.75,225.66990661621094,205867.0
2021-12-07,238.39999389648438,239.75,235.0500030517578,238.60000610351562,230.3522491455078,213846.0
2021-12-08,243.89999389648438,248.39999389648438,239.5,241.1999969482422,232.86236572265625,402145.0
2021-12-09,242.85000610351562,245.75,242.35000610351562,244.5500030517578,236.09658813476562,233734.0
2021-12-10,245.0,249.39999389648438,244.60000610351562,247.10000610351562,238.55844116210938,316186.0
2021-12-13,251.3000030517578,260.0,245.39999389648438,255.0,246.1853485107422,904349.0
2021-12-14,254.60000610351562,261.5,248.60000610351562,256.6000061035156,247.7300567626953,1012753.0
2021-12-15,258.95001220703125,262.3500061035156,253.5,255.5500030517578,246.71632385253906,737824.0
2021-12-16,255.4499969482422,256.8999938964844,247.0,248.14999389648438,239.57212829589844,256174.0
2021-12-17,248.14999389648438,248.85000610351562,239.10000610351562,246.64999389648438,238.1239776611328,291022.0
2021-12-20,246.14999389648438,246.14999389648438,234.10000610351562,240.85000610351562,232.52447509765625,382203.0
2021-12-21,241.3000030517578,248.39999389648438,239.89999389648438,241.60000610351562,233.24855041503906,329338.0
2021-12-22,243.85000610351562,244.75,240.0500030517578,241.4499969482422,233.10372924804688,150479.0
2021-12-23,244.5,245.9499969482422,241.60000610351562,242.75,234.35879516601562,159324.0
2021-12-24,244.5,247.6999969482422,240.64999389648438,242.64999389648438,234.2622528076172,319659.0
2021-12-27,241.9499969482422,243.14999389648438,238.5500030517578,240.10000610351562,231.80039978027344,162617.0
2021-12-28,241.35000610351562,243.64999389648438,239.75,241.25,232.91065979003906,223134.0
2021-12-29,240.60000610351562,246.10000610351562,240.0500030517578,240.5500030517578,232.23483276367188,171895.0
2021-12-30,241.0500030517578,242.64999389648438,238.8000030517578,240.0,231.703857421875,133749.0
2021-12-31,241.0,243.75,241.0,243.0500030517578,234.64842224121094,165882.0
