date,open,high,low,close,adjclose,volume
2021-09-15,423.0,423.0,400.04998779296875,406.25,394.42633056640625,27356.0
2021-09-16,410.0,410.0,396.6000061035156,401.6499938964844,391.4053649902344,21543.0
2021-09-17,395.0,409.70001220703125,382.1499938964844,388.1499938964844,378.2497253417969,37390.0
2021-09-20,384.3500061035156,390.0,368.75,373.54998779296875,364.0220947265625,33112.0
2021-09-21,358.1000061035156,370.0,354.8999938964844,366.04998779296875,356.7134094238281,35561.0
2021-09-22,366.04998779296875,384.3500061035156,366.04998779296875,383.45001220703125,373.66961669921875,20809.0
2021-09-23,390.0,401.45001220703125,387.0,395.75,385.6558532714844,23490.0
2021-09-24,399.0,403.95001220703125,376.1499938964844,380.95001220703125,371.2333679199219,33025.0
2021-09-27,389.95001220703125,392.0,362.20001220703125,377.8999938964844,368.26116943359375,24619.0
2021-09-28,380.0,396.75,376.0,390.8500061035156,380.880859375,24008.0
2021-09-29,398.70001220703125,408.0,395.1000061035156,404.1000061035156,393.7928771972656,35137.0
2021-09-30,406.0,424.29998779296875,406.0,424.29998779296875,413.4776611328125,62193.0
2021-10-01,440.0,445.5,430.0,445.5,434.1369323730469,54122.0
2021-10-04,451.1000061035156,464.0,450.0,456.0,444.36907958984375,70866.0
2021-10-05,458.0,459.0,445.04998779296875,451.25,439.74029541015625,23960.0
2021-10-06,451.0,460.0,432.0,437.70001220703125,426.5359191894531,30859.0
2021-10-07,441.0,450.0,432.0,436.1000061035156,424.9766540527344,16896.0
2021-10-08,438.0,438.3999938964844,430.20001220703125,434.3999938964844,423.3200378417969,15932.0
2021-10-11,430.0,456.1000061035156,424.0,447.79998779296875,436.3782653808594,42090.0
2021-10-12,456.0,456.0,432.20001220703125,447.3500061035156,435.93975830078125,14119.0
2021-10-13,446.0,450.0,440.0,440.6000061035156,429.3619079589844,15411.0
2021-10-14,441.0,443.8999938964844,430.04998779296875,433.1000061035156,422.0531921386719,19858.0
2021-10-18,438.0,454.75,434.1000061035156,454.75,443.1510009765625,51539.0
2021-10-19,464.0,477.45001220703125,464.0,476.8500061035156,464.68731689453125,104772.0
2021-10-20,496.5,496.5,453.04998779296875,481.0,468.7314453125,78593.0
2021-10-21,484.6000061035156,492.8500061035156,457.0,466.6499938964844,454.7474670410156,48281.0
2021-10-22,474.0,479.3500061035156,443.3500061035156,443.3500061035156,432.0417785644531,24291.0
2021-10-25,450.0,452.3500061035156,432.0,437.75,426.5845947265625,47131.0
2021-10-26,436.75,459.6000061035156,436.75,459.6000061035156,447.87725830078125,17817.0
2021-10-27,469.70001220703125,482.54998779296875,469.70001220703125,482.54998779296875,470.2419128417969,34186.0
2021-10-28,494.70001220703125,506.6499938964844,472.54998779296875,502.75,489.9266662597656,196729.0
2021-10-29,515.0,527.8499755859375,496.5,511.04998779296875,498.0149841308594,100189.0
2021-11-01,523.0,526.6500244140625,511.0,515.0999755859375,501.961669921875,63159.0
2021-11-02,524.9500122070312,540.8499755859375,518.0499877929688,540.8499755859375,527.0548706054688,86951.0
2021-11-03,559.0,567.8499755859375,538.25,558.25,544.0111083984375,120210.0
2021-11-04,565.0,574.9500122070312,545.1500244140625,551.4500122070312,537.3844604492188,37938.0
2021-11-08,561.5999755859375,561.5999755859375,531.1500244140625,549.25,535.2406616210938,59557.0
2021-11-09,563.0,575.9000244140625,540.0,570.5999755859375,556.0460815429688,98118.0
2021-11-10,595.0,597.0,571.7000122070312,574.9500122070312,560.28515625,130571.0
2021-11-11,579.0,579.0,546.25,546.7999877929688,532.8531494140625,58091.0
2021-11-12,541.0,545.0,519.5,525.7999877929688,512.3887329101562,54712.0
2021-11-15,525.0,536.5,520.0,520.5499877929688,507.2727355957031,29414.0
2021-11-16,519.0,545.0,515.0999755859375,542.2999877929688,529.9951171875,96718.0
2021-11-17,542.9500122070312,555.0,529.7000122070312,534.5999755859375,522.4698486328125,43525.0
2021-11-18,544.4000244140625,544.4000244140625,515.0999755859375,521.0,509.1784362792969,28736.0
2021-11-22,515.0,534.7999877929688,496.5,500.79998779296875,489.4367980957031,53102.0
2021-11-23,477.1499938964844,525.7999877929688,477.1499938964844,525.7999877929688,513.8695068359375,37375.0
2021-11-24,547.0,552.0,526.25,537.0,524.8153686523438,43584.0
2021-11-25,538.0,549.2000122070312,525.5999755859375,532.7000122070312,520.6129150390625,18477.0
2021-11-26,521.0,528.9500122070312,506.1000061035156,508.20001220703125,496.66888427734375,31038.0
2021-11-29,485.0,500.0,482.79998779296875,482.79998779296875,471.84521484375,64284.0
